country,continent,lifeExp,pop,gdpPercap
"SEPT2242 L. Septimius (9, 10a)",Violent,52,52,-48
DOMI2264 L. Domitius (27) Cn. f. Cn. n. Fab. Ahenobarbus,Violent,50,50,-48
CORN2356 L. Cornelius (218) P. f. L. n. Pal. Lentulus Crus,Violent,50,50,-48
ANNI2381 T. Annius (67) Mae. Milo = T. Papius Milo,Violent,52,52,-48
CAEL2417 M. Caelius (35) Vel. Rufus,Violent,34,34,-48
CORN2572 P. Cornelius (232) Lentulus Marcellinus,Violent,52,52,-48
IUST3743 -. Iustuleius (10.1340),Violent,52,52,-48
FELG4550 C. Felginas (Felginas) Vot.,Violent,52,52,-48
GRAN4551 A. Granius (2) Fal.,Violent,52,52,-48
CORN2290 P. Cornelius (238) P. f. L. n. Lentulus Spinther,Violent,53,53,-47
COSC2348 C. Cosconius (5) C. f.,Violent,53,53,-47
AFRA2074 L. Afranius (6) A. f. Vel.,Violent,79,79,-46
PORC2241 M. Porcius (16) M. f. M. n. Pap. Cato (Uticensis),Violent,49,49,-46
PETR2280 M. Petreius (3) Hor.,Violent,46,46,-46
CORN2300 Faustus Cornelius (377) L. f. L. n. Sulla,Violent,43,43,-46
CAEC2347 Q. Caecilius (99) Q. f. Q. n. Fab. Metellus Pius Scipio = P. Cornelius (352) Scipio Nasica,Violent,49,49,-46
CONS2359 C. Considius (11) Longus,Violent,54,54,-46
"IULI2374 Sex. Iulius (152, 153) Caesar",Violent,37,37,-46
IULI2559 L. Iulius (144) L. f. L. n. Caesar,Violent,54,54,-46
TITI2576 L.? Titius (13) L. f. Hispanus,Violent,54,54,-46
GRAN2610 -. Granius (9) Fal. Petro,Violent,54,54,-46
TITI2617 -. Titius (cf. 13) L. f. Hispanus,Violent,54,54,-46
CORN2774 Q. Cornucius (8),Violent,54,54,-46
POMP3934  Pompeia (54),Violent,79,79,-46
POMP2253 Cn. Pompeius (32) Cn. f. Cn. n. Magnus,Violent,55,55,-45
LABI2292 T. Labienus (6) Vel. 'Rabienus',Violent,55,55,-45
CLAU2398 M. Claudius (229) M. f. M. n. Marcellus,Violent,50,50,-45
ATTI2455 P. Attius (32) Varus,Violent,55,55,-45
DIDI2619 C. Didius (2),Violent,55,55,-45
CURT3443 P. Curtius (10) (Salassus),Violent,55,55,-45
IULI1957 C. Iulius (131) C. f. C. n. Fab. Caesar,Violent,56,56,-44
BAEB2645 -. Baebius (5),Violent,56,56,-44
"HELV2681 C. Helvius (11, cf. 12) Fab. Cinna",Violent,31,31,-44
TULL2072 M. Tullius (29) M. f. M. n. Cor. Cicero,Violent,63,63,-43
TULL2216 Q. Tullius (31) M. f. M. n. Cor. Cicero,Violent,59,59,-43
IUVE2308 M. Iuventius (16) (M. f.) Pap. Laterensis,Violent,57,57,-43
TREB2336 C. Trebonius (6) C. f.,Violent,57,57,-43
VILL2358 L. Villius (7) Pom. Annalis,Violent,57,57,-43
ATEI2422 C. Ateius (7) C. f. Capito,Violent,57,57,-43
HIRT2449 A. Hirtius (2) A. f. Pob.,Violent,36,36,-43
"IUNI2489 D. Iunius (55a, Supb. 5.369) D. f. D. n. Brutus Albinus",Violent,57,57,-43
VIBI2495 C. Vibius (16) C. f. C. n. Tro. Pansa Caetronianus,Violent,46,46,-43
CORN2515 P. Cornelius (141) P. f. Dolabella = P. Cornelius Lentulus,Violent,26,26,-43
GALL2605 Q. Gallius (7),Violent,57,57,-43
TULL2632 Q. Tullius (32) Q. f. M. n. Cicero,Violent,23,23,-43
PONT2637 L. Pontius (17) Pap. Aquila,Violent,57,57,-43
TURR2669 C. Turranius (4),Violent,32,32,-43
CANN2677 Ti. Cannutius (3),Violent,32,32,-43
CARF2678 D. Carfulenus (1),Violent,57,57,-43
CAEC2709 M. Caecilius (45) Cornutus,Violent,32,32,-43
"MINU2712 -. Minucius (9, cf. 50) Rufus",Violent,32,32,-43
SALV2718 -. Salvius (6),Violent,32,32,-43
PEDU2752 C. Peducaeus (1),Violent,32,32,-43
DECI3183 P. Decius (1),Violent,32,32,-43
SILI3262 P. Silicius (1) Corona,Violent,32,32,-43
STAT3267 -. Statius (1) Vol. 'the Samnite',Violent,80,80,-43
CAES3339 P. Caesetius (5) Rufus,Violent,32,32,-43
ANON3426 -. - (not in RE) Cillo (or Chilo?),Violent,32,32,-43
HELV3703 -. Helvius (10) Blasio,Violent,32,32,-43
"PLAU3775 L. Plautius (Plotius) (10, cf. Munatius 26) Plancus",Violent,57,57,-43
ARRU4697 -. Arruntius (2),Violent,57,57,-43
AEMI5108 -. Aemilius (not in RE) (Lepidus or Scaurus),Violent,32,32,-43
LABI5110 -. Labienus (2),Violent,82,82,-43
FULV5136 -. Fulvius (3),Violent,57,57,-43
FAVO2352 M. Favonius (1) Ouf.,Violent,48,48,-42
CORN2394 P. Cornelius (239) P. f. Lentulus Spinther,Violent,33,33,-42
CASS2458 C. Cassius (59) Longinus,Violent,40,40,-42
IUNI2459 M. Iunius (53) M. f. Brutus = Q. Servilius Caepio Brutus,Violent,43,43,-42
ANTO2497 C. Antonius (20) M. f. M. n.,Violent,38,38,-42
LIVI2520 M. Livius (19) Drusus (Claudianus),Violent,58,58,-42
QUIN2542 Sex. Quinctilius (17) Varus,Violent,58,58,-42
